epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,17304.4,0.64175,1.06882,1.00744,0.74872,0.62208,0.71271,0.62904,0.53778,1.05219,0.94748,0.001882,0.001882,0.001882
84,17509.6,0.6384,1.05818,1.01002,0.74879,0.62659,0.71459,0.63099,0.53685,1.04858,0.94641,0.001783,0.001783,0.001783
85,17721.1,0.63972,1.04905,1.00679,0.75071,0.62016,0.71551,0.63194,0.53596,1.04485,0.94571,0.001684,0.001684,0.001684
86,17937.8,0.62733,1.02649,1.00293,0.77551,0.61039,0.71605,0.63273,0.53498,1.04109,0.94555,0.001585,0.001585,0.001585
87,18117,0.62956,1.02421,1.00045,0.78566,0.60857,0.71745,0.63402,0.53388,1.03681,0.9441,0.001486,0.001486,0.001486
88,18289.8,0.63064,1.01371,1.00204,0.78308,0.61097,0.71864,0.63434,0.5332,1.0344,0.94357,0.001387,0.001387,0.001387
89,18475.3,0.62465,1.01477,0.99887,0.78759,0.61227,0.7192,0.63554,0.53281,1.0325,0.94391,0.001288,0.001288,0.001288
90,18674.9,0.6242,1.0044,0.99912,0.76861,0.62126,0.71991,0.63568,0.53201,1.0297,0.94374,0.001189,0.001189,0.001189
91,19049.6,0.48828,0.67961,0.92121,0.7775,0.61754,0.7212,0.63697,0.53244,1.02897,0.94411,0.00109,0.00109,0.00109
92,19378.5,0.4832,0.64971,0.91513,0.77388,0.62518,0.7215,0.63726,0.53203,1.02802,0.94408,0.000991,0.000991,0.000991
93,19710.1,0.47869,0.63197,0.91545,0.76988,0.62609,0.72093,0.63709,0.53124,1.02823,0.94376,0.000892,0.000892,0.000892
94,20039.9,0.47112,0.61855,0.91073,0.78037,0.61825,0.72105,0.63794,0.53043,1.02755,0.94327,0.000793,0.000793,0.000793
95,20370.2,0.466,0.61018,0.91059,0.78149,0.61596,0.72073,0.63776,0.52991,1.02775,0.94267,0.000694,0.000694,0.000694
96,20699.6,0.45865,0.59609,0.90554,0.79207,0.6075,0.72089,0.63801,0.5296,1.02807,0.94242,0.000595,0.000595,0.000595
97,21025.1,0.46177,0.58281,0.90392,0.75654,0.62875,0.72084,0.63787,0.5288,1.02819,0.94215,0.000496,0.000496,0.000496
98,21242.5,0.45578,0.57603,0.90349,0.75685,0.62871,0.72059,0.63855,0.52806,1.02774,0.94159,0.000397,0.000397,0.000397
99,21389.8,0.45603,0.5699,0.90368,0.74667,0.63611,0.72009,0.63821,0.52733,1.02787,0.94118,0.000298,0.000298,0.000298
100,21539.7,0.44761,0.55709,0.90032,0.74794,0.63616,0.71988,0.6383,0.52686,1.02875,0.94083,0.000199,0.000199,0.000199
